RA,WT,STOR,txs,count,missed,added,common,Coverage,Overhead
0,1,sata,1225702,11203652,2352312,3544220,8851340,79.0%,31.6%
1,1,sata,1225692,11203608,2394003,3589266,8809605,78.6%,32.0%
2,1,sata,1225697,11203628,2368836,3558372,8834792,78.9%,31.8%
3,1,sata,1225698,11203635,2367840,3556064,8835795,78.9%,31.7%
6,1,sata,1225696,11203631,2374476,3566844,8829155,78.8%,31.8%
15,1,sata,1225695,11203623,2377631,3566833,8825992,78.8%,31.8%
0,2,sata,1225702,11203652,2373500,3687046,8830152,78.8%,32.9%
1,2,sata,1225690,11203603,2415014,3735383,8788589,78.4%,33.3%
2,2,sata,1225681,11203570,2438452,3746184,8765118,78.2%,33.4%
3,2,sata,1225661,11203383,2456961,3767413,8746422,78.1%,33.6%
6,2,sata,1225620,11203076,2498250,3813339,8704826,77.7%,34.0%
15,2,sata,1225512,11202432,2554518,3843098,8647914,77.2%,34.3%
0,4,sata,1225702,11203652,2372737,3845476,8830915,78.8%,34.3%
1,4,sata,1225690,11203603,2412845,3899825,8790758,78.5%,34.8%
2,4,sata,1225678,11203549,2440968,3925005,8762581,78.2%,35.0%
3,4,sata,1225659,11203369,2459103,3941414,8744266,78.1%,35.2%
6,4,sata,1225615,11203026,2508568,3990287,8694458,77.6%,35.6%
15,4,sata,1225504,11202408,2564729,4020139,8637679,77.1%,35.9%
0,8,sata,1225701,11203650,2366784,4020399,8836866,78.9%,35.9%
1,8,sata,1225686,11203592,2405052,4095285,8798540,78.5%,36.6%
2,8,sata,1225669,11203511,2432842,4116592,8770669,78.3%,36.7%
3,8,sata,1225652,11203331,2450803,4138004,8752528,78.1%,36.9%
6,8,sata,1225614,11203006,2501674,4189695,8701332,77.7%,37.4%
15,8,sata,1225498,11202384,2556488,4224406,8645896,77.2%,37.7%
0,1,nvme,1225702,11203652,2355506,3545962,8848146,79.0%,31.7%
1,1,nvme,1225691,11203606,2401752,3598854,8801854,78.6%,32.1%
2,1,nvme,1225686,11203590,2422074,3604545,8781516,78.4%,32.2%
3,1,nvme,1225666,11203408,2440801,3624209,8762607,78.2%,32.3%
6,1,nvme,1225628,11203110,2479254,3666956,8723856,77.9%,32.7%
15,1,nvme,1225525,11202457,2520932,3699641,8681525,77.5%,33.0%
0,2,nvme,1225702,11203650,2375496,3689307,8828154,78.8%,32.9%
1,2,nvme,1225690,11203603,2416996,3740118,8786607,78.4%,33.4%
2,2,nvme,1225678,11203549,2447242,3756316,8756307,78.2%,33.5%
3,2,nvme,1225659,11203369,2466743,3778005,8736626,78.0%,33.7%
6,2,nvme,1225616,11203029,2515288,3824451,8687741,77.5%,34.1%
15,2,nvme,1225504,11202408,2568158,3856698,8634250,77.1%,34.4%
0,4,nvme,1225702,11203652,2373259,3850753,8830393,78.8%,34.4%
1,4,nvme,1225690,11203603,2413156,3910009,8790447,78.5%,34.9%
2,4,nvme,1225678,11203549,2441947,3927223,8761602,78.2%,35.1%
3,4,nvme,1225658,11203362,2460183,3950985,8743179,78.0%,35.3%
6,4,nvme,1225615,11203026,2506295,4000075,8696731,77.6%,35.7%
15,4,nvme,1225504,11202408,2565589,4030734,8636819,77.1%,36.0%
0,8,nvme,1225699,11203626,2365757,4030139,8837869,78.9%,36.0%
1,8,nvme,1225687,11203598,2404956,4103903,8798642,78.5%,36.6%
2,8,nvme,1225675,11203543,2432909,4126386,8770634,78.3%,36.8%
3,8,nvme,1225652,11203325,2450587,4149926,8752738,78.1%,37.0%
6,8,nvme,1225610,11202988,2500371,4198261,8702617,77.7%,37.5%
15,8,nvme,1225500,11202391,2556094,4231171,8646297,77.2%,37.8%
