Percenticle, NVME ns, SATA ns
0.0100,      46848,    141000
0.0500,      70144,    141000
0.1000,      70144,    143000
0.2000,      71168,    143000
0.3000,      71168,    143000
0.4000,      71168,    145000
0.5000,      71168,    145000
0.6000,      72192,    159000
0.7000,      86528,    161000
0.8000,      86528,    178000
0.9000,      87552,    204000
0.9500,      87552,    424000
0.9900,      88576,    988000
0.9950,      89600,   1037000
0.9990,      90624,   1172000
0.9995,      90624,   1172000
0.9999,      99840,   1221000
